"MrpDate","Org","PlnrCd","Planner","ExCd","Exception","days","Item","Description","MakeBuy","xSignal","Buyer","SupplyType","xOrder","Quantity","DueDate","FromDate","ToDate","ExtCost","StdCst","Vendor","VendNum"
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-2","0101847-01","INERTIA REEL ASSY, 36 IN.","make","","","Discrete job","1963043","5","0000-00-00","0000-00-00","0000-00-00","7578.28","1515.66","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-1","0101858-01","LEVER, CONTROL ASSY","make","","","Discrete job","1968396","7","0000-00-00","0000-00-00","0000-00-00","214.85","30.69","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-1","0101863-01","(%%%### TEST 3/LOT ### %%)  SHAFT ASSEMB","make","","","Discrete job","1965978","47","0000-00-00","0000-00-00","0000-00-00","20615.87","438.64","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-2","0101869-110","CABLE ASSEMBLY","make","","","Discrete job","1967861","2","0000-00-00","0000-00-00","0000-00-00","45.53","22.77","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-29","0101989-07","RESTRAINT SYSTEM","make","","","Discrete job","1964912","16","0000-00-00","0000-00-00","0000-00-00","10169.80","635.61","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-62","0101989-07","RESTRAINT SYSTEM","make","","","Discrete job","1964913","8","0000-00-00","0000-00-00","0000-00-00","5084.90","635.61","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-122","0101989-07","RESTRAINT SYSTEM","make","","","Discrete job","1964914","1","0000-00-00","0000-00-00","0000-00-00","635.61","635.61","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-231","0101989-07","RESTRAINT SYSTEM","make","","","Discrete job","1966659","27","0000-00-00","0000-00-00","0000-00-00","17161.53","635.61","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-4","0106975-04","REEL ASS'Y","make","","","Discrete job","1962768","13","0000-00-00","0000-00-00","0000-00-00","9661.67","743.21","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-23","0107402-03","FRAME ASSY","make","","","Discrete job","1967862","25","0000-00-00","0000-00-00","0000-00-00","1471.53","58.86","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-2","0111040-51","HARNESS SYSTEM (BUCKLE KIT, 1-ACTION)","make","","","Discrete job","1966649","4","0000-00-00","0000-00-00","0000-00-00","892.36","223.09","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-1","0111065-51","HARNESS SYSTEM, CANADIAN EH-101, JUMP/OB","make","","","Discrete job","1968715","1","0000-00-00","0000-00-00","0000-00-00","223.09","223.09","",""
"0000-00-00","KIN","PLNR05","Acosta","6","Orders to be rescheduled in","-9","0111221-01","ADJUSTER ASSY 2 IN.","make","","","Discrete job","1968243","150","0000-00-00","0000-00-00","0000-00-00","1799.57","12","",""
