ID,Order#,ShipDate,ExtPrice
207,260665,2015-03-10,2975.4
208,260665,2015-05-01,5950.8
209,260665,2015-07-08,6281.4
210,260665,2015-08-27,8926.2
211,260678,2015-01-12,49427
212,260680,2015-02-24,70092
213,258403,2015-01-09,3433
214,258403,2015-01-23,686.6
215,258403,2015-01-17,1029.9
216,260713,2015-01-14,10978
217,260713,2015-01-20,12974
218,260713,2015-01-28,998
219,260713,2015-01-28,12974
220,260713,2015-02-17,14970
221,260713,2015-02-17,12974
222,260725,2015-01-30,547.08
223,260725,2015-02-25,1094.16
224,260725,2015-03-26,1458.88
225,260725,2015-05-04,1094.16
226,260734,2015-01-19,2079.9
227,260730,2015-03-16,726
228,260730,2015-01-16,324
229,260771,2015-05-01,0
230,260793,2015-02-25,1159.81
231,260795,2015-01-15,2767.6
232,260795,2015-01-15,1383.8
233,260795,2015-01-21,1383.8
234,260851,2015-01-16,324
235,260851,2015-01-20,324
236,260859,2015-07-31,4144
237,260131,2015-02-21,1409.24
238,260886,2015-01-28,22141.5
239,260902,2015-03-13,8660.48
240,260938,2015-03-04,2653.8
241,260938,2015-05-05,2653.8
242,260961,2015-01-26,9200
243,260961,2015-01-20,324
244,260961,2015-01-20,324
245,260961,2015-01-23,324
246,260961,2015-01-27,324
247,260961,2015-03-27,1936
248,260987,2015-06-16,0
249,261007,2015-01-07,0
250,261022,2015-01-30,0
251,261028,2015-04-29,143220
252,260933,2015-01-12,8334.95
253,261042,2015-02-27,2947
254,261052,2015-02-25,4242
255,261065,2015-05-01,125000
256,261077,2015-02-19,17397.15
257,261085,2015-03-25,27144
258,261085,2015-05-29,22272
259,261117,2015-01-24,619.91
260,261129,2015-01-17,13384
261,261189,2015-07-17,61144.17
262,261193,2015-02-27,15708
263,261193,2015-02-27,78540
264,261177,2015-01-26,9200
265,261177,2015-01-30,9200
266,261177,2015-02-12,9200
267,261177,2015-01-29,324
268,261177,2015-02-10,324
269,261177,2015-02-10,324
270,261177,2015-02-12,9200
271,261212,2015-03-06,2000
272,261212,2015-04-24,2000
273,261212,2015-05-26,2000
274,261212,2015-03-06,2300
275,261212,2015-04-24,2300
276,261212,2015-05-29,2300
277,261221,2015-03-19,31125.28
278,261221,2015-03-19,62250.56
279,261221,2015-04-22,311252.8
280,261221,2015-05-21,155626.4
281,261221,2015-05-28,62250.56
282,261221,2015-01-05,1631.44
283,261221,2015-02-26,815.72
284,261221,2015-02-26,815.72
285,261221,2015-02-26,7341.48
286,261221,2015-04-21,8157.2
287,261221,2015-04-21,8157.2
288,261221,2015-05-29,5710.04
289,261237,2015-01-24,1768
290,261246,2015-04-24,10272
